公司代號,公司名稱,英文簡稱,申報原因,產業類別,報告書內容涵蓋期間,編製依循準則,第三方驗證(驗證單位),第三方驗證(單位名稱),第三方驗證(採用標準),公司網站報告書相關資訊(中文版),中文版永續報告書檔案,中文版上傳日期,英文版永續報告書網址,英文版永續報告書檔案,英文版上傳日期,中文版永續報告書(修正後版本),上傳日期(中文修正後版本),英文版永續報告書(修正後版本),上傳日期(英文修正後版本),報告書聯絡資訊,備註,公司完整名稱,統一編號,CSR報告超連結
1229,聯華,LHIHC,1.屬食品工業者、5.股本達新臺幣二十億元以上者,食品工業,111/01/01~111/12/31,1. GRI 準則,會計師事務所：,安侯建業聯合會計師事務所,確信準則3000號(原公報第一號),https://www.lhicholdings.com/csr/report/,t100sa11_1229_111.pdf,112/09/04,,,,,,,,csr@lhic.com.tw,,聯華實業投資控股股份有限公司,_11996904,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1229_111.pdf
1232,大統益,TTET,1.屬食品工業者,食品工業,111/01/01~111/12/31,1. GRI 準則,會計師事務所：,資誠聯合會計師事務所,確信準則3000號(原公報第一號),https://www.ttet.com.tw/index.php?option=module&lang=cht&task=showlist&id=17&index=6,t100sa11_1232_111.pdf,112/08/24,,,,,,,,ttet@mail.ttet.com.tw,,大統益股份有限公司,_20927014,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1232_111.pdf
1236,宏亞,Hunya,1.屬食品工業者,食品工業,111/01/01~111/12/31,1. GRI 準則,會計師事務所：,安永聯合會計師事務所,確信準則3000號(原公報第一號),https://csr.hunya.com.tw/download.php,t100sa11_1236_111.pdf,112/08/14,,,,,,,,charleshsu@hunya.com.tw,,宏亞食品股份有限公司,_34106066,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1236_111.pdf
1301,台塑,FPC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,艾法諾國際股份有限公司 (AFNOR Asia Ltd.),AA1000 第1類型(Type1) 中度保證,https://csr.fpc.com.tw/FPC_CSR/csr_download.aspx,t100sa11_1301_111.pdf,112/06/28,,,,,,,,fpccsr@fpc.com.tw,,台灣塑膠工業股份有限公司,_75708007,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1301_111.pdf
1303,南亞,NPC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,艾法諾國際股份有限公司 (AFNOR Asia Ltd.),AA1000 第1類型(Type1) 中度保證,http://www.npc.com.tw/j2npc/zhtw/csr_report.jsp,t100sa11_1303_111.pdf,112/06/30,,,,,,,,NPC_ESG@npc.com.tw,,南亞塑膠工業股份有限公司,_75370905,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1303_111.pdf
1304,台聚,USI,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,「法國標準協會」亞太公司艾法諾國際股份有限公司(AFNOR Asia Ltd.),AA1000 第1類型(Type1) 中度保證,https://www.usife.com/ESG/zh-tw/ESG72.aspx,t100sa11_1304_111.pdf,112/06/30,,,,,,,,Cally@usig.com,,台灣聚合化學品股份有限公司,_11917107,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1304_111.pdf
1305,華夏,CGPC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,第三方驗證機構「法國標準協會」亞太公司艾法諾國際股份有限公司(AFNOR Asia Ltd.),AA1000 第1類型(Type1) 中度保證,https://www.cgpc.com.tw/ESG/tw/ESG-Report.aspx,t100sa11_1305_111.pdf,112/06/30,,,,,,,,jessicachen@usig.com、KENNYCHEN@usig.com,本報告書不含海外子公司，部份資料回溯至111年之前及112年之內容與績效。,華夏海灣塑膠股份有限公司,_11686106,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1305_111.pdf
1307,三芳,SAN FANG,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,https://www.sanfang.com/interested/%E9%97%9C%E6%96%BC%EF%BD%85%EF%BD%93%EF%BD%87,t100sa11_1307_111.pdf,112/06/02,,,,,,,,juii@sanfang.con.tw,,三芳化學工業股份有限公司,_83387850,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1307_111.pdf
1308,亞聚,APC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,「法國標準協會」亞太公司艾法諾國際股份有限公司 (AFNOR Asia Ltd.),AA1000 第1類型(Type1) 中度保證,https://www.apc.com.tw/ESG/zh-tw/ESG82.aspx,t100sa11_1308_111.pdf,112/06/30,,,,,,,,shpan@usig.com,,亞洲聚合股份有限公司,_20747385,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1308_111.pdf
1309,台達化,TTC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,「法國標準協會」亞太公司艾法諾國際股份有限公司 (AFNOR Asia Ltd.),AA1000 第1類型(Type1) 中度保證,https://www.ttc.com.tw/zh-tw/dirCSRnew/frmReport.aspx,t100sa11_1309_111.pdf,112/06/30,,,,,,,,leeclong@usig.com,,台達化學工業股份有限公司,_11893409,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1309_111.pdf
1310,台苯,T.S.M.C.,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,2. 其他依循標準：GRI 準則、SASB、TCFD,無,無資料,無資料,https://www.smct.com.tw/Responsibility/responsibility,t100sa11_1310_111.pdf,112/06/30,,,,,,,,eveline@smct.com.tw,,台灣苯乙烯工業股份有限公司,_20844865,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1310_111.pdf
1312,國喬,GPPC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,TUV NORD,AA1000 第2類型(Type2) 中度保證,https://www.gppc.com.tw/,t100sa11_1312_111.pdf,112/06/29,https://www.gppc.com.tw/,t100sa11_1312_111_E.pdf,2023/07/05,,,,,popeye@gppc.com.tw,無,國喬石油化學股份有限公司,_04212250,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1312_111.pdf
1313,聯成,UPC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,英國標準協會(BSI),AA1000 第1類型(Type1) 中度保證,https://www.upc.com.tw/zh-TW/esg_reports,t100sa11_1313_111.pdf,112/06/27,,,,,,,,esg@upc.com.tw,,聯成化學科技股份有限公司,_04748660,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1313_111.pdf
1314,中石化,CPDC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,英國標準協會(BSI),AA1000 第2類型(Type2) 高度保證,https://www.cpdc.com.tw/tw/csr_pdf,t100sa11_1314_111.pdf,112/06/30,,,,,,,,"CSR@cpdc.com.tw, venessachi@cpdc.com.tw",英文版報告書編製中，完成後置於公司網站https://www.cpdc.com.tw/en/csr_pdf,中國石油化學工業開發(股)公司,_03084741,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1314_111.pdf
1316,上曜,SUN YAD,6.係自願編製與申報,建材營造,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,http://www.sunyad.com.tw/responsibility.asp,t100sa11_1316_111.pdf,112/06/30,,,,,,,,sunyad_101@yahoo.com.tw,,上曜建設開發股份有限公司,_73654033,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1316_111.pdf
1319,東陽,OTN,5.股本達新臺幣二十億元以上者,汽車工業,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,https://www.tyg.com.tw/,t100sa11_1319_111.pdf,112/06/29,https://www.tyg.com.tw/,t100sa11_1319_111_E.pdf,2023/08/30,,,,,16503@tyg.com.tw,,東陽實業廠股份有限公司,_68326665,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1319_111.pdf
1321,大洋,OPC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,格瑞國際驗證有限公司,AA1000 第1類型(Type1) 中度保證,https://www.opc.com.tw/zh-tw/a2-9767/%E5%B9%B4%E5%BA%A62022.html,t100sa11_1321_111.pdf,112/06/26,,,,,,,,denny@opc.com.tw,,大洋塑膠工業股份有限公司,_15024509,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1321_111.pdf
1326,台化,FCFC,5.股本達新臺幣二十億元以上者,塑膠工業,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,艾法諾國際股份有限公司 (AFNOR Asia Ltd.),AA1000 第1類型(Type1) 中度保證,https://www.fcfc.com.tw/data-22345,t100sa11_1326_111.pdf,112/06/21,,,,,,,,management@fcfc.com.tw,,台灣化學纖維股份有限公司,_58650902,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1326_111.pdf
1402,遠東新,FENC,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,"2. 其他依循標準：GRI 準則、SASB化學行業指標、TCFD及IFRS永續揭露準則(草案) S1,S2",其他查驗證單位：,台灣檢驗科技股份有限公司(SGS),AA1000 第1類型(Type1) 中度保證,https://csr.fenc.com/report.aspx?lang=zh,t100sa11_1402_111.pdf,112/06/29,https://csr.fenc.com/report-download?lang=en,t100sa11_1402_111_E.pdf,2023/08/09,,,,,csr@fenc.com,,遠東新世紀股份有限公司,_03522600,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1402_111.pdf
1409,新纖,SSFC,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,TUV,AA1000 第1類型(Type1) 中度保證,http://www.shinkong.com.tw/front/investors,t100sa11_1409_111.pdf,112/06/27,,,,,,,,corp_pd@shinkong.com.tw,,新光合成纖維股份有限公司,_07435515,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1409_111.pdf
1413,宏洲,H.C.,6.係自願編製與申報,紡織纖維,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,http://www.hungchou.com.tw,t100sa11_1413_111.pdf,112/06/20,,,,,,,,albert@yijinn.com.tw,111年度溫室氣體盤查委託中國生產力中心做外部查證，截止於6/20尚未取得驗證報告。,宏洲纖維工業股份有限公司,_07220710,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1413_111.pdf
1434,福懋,F.T.C,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,台灣檢驗科技股份有限公司 (SGS Taiwan),AA1000 第1類型(Type1) 中度保證,http://www.ftc.com.tw/newftc/respons_report.php,t100sa11_1434_111.pdf,112/06/27,,,,,,,,t113001@ftc.com.tw,,福懋興業股份有限公司,_14001199,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1434_111.pdf
1437,勤益控,GTM,5.股本達新臺幣二十億元以上者,其他,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,https://www.gtm.com.tw/esg/#ESG-Report,t100sa11_1437_111.pdf,112/08/25,,,,,,,,gtm@gtm.com.tw,無,勤益投資控股股份有限公司,_35535607,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1437_111.pdf
1440,南紡,TAINAN SPINNING,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,DNV立恩威國際驗證,AA1000 第1類型(Type1) 中度保證,http://www.tainanspin.com.tw/,t100sa11_1440_111.pdf,112/06/21,,,,t100sa11_1440_111_M.pdf,112/08/22,,,CSR@tainanspin.com.tw,,臺南紡織股份有限公司,_68919301,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1440_111.pdf
1444,力麗,LEALEA,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,https://www.lealeagroup.com.tw/project-detail/ll22/,t100sa11_1444_111.pdf,112/06/28,,,,,,,,hung0612@lipeng.com.tw,,力麗企業股份有限公司,_07663290,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1444_111.pdf
1447,力鵬,LP,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,https://www.lealeagroup.com.tw/project-detail/lp22/,t100sa11_1447_111.pdf,112/06/28,,,,,,,,kenny110@lealea.com.tw,,力鵬企業股份有限公司,_33955322,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1447_111.pdf
1451,年興,NIEN HSING,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,https://www.nhjeans.com/sustainability/?lang=zh-hant,t100sa11_1451_111.pdf,112/06/30,,,,,,,,terence.chou@nhjeans.com,,年興紡織股份有限公司,_22266307,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1451_111.pdf
1455,集盛,ZIG SHENG,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,香港商英國標準協會太平洋有限公司台灣分公司 (BSI ),AA1000 第1類型(Type1) 中度保證,http://www.zigsheng.com/corporate-social-responsibility-zh/historical-corporate-social-responsibility-reports-zh/,t100sa11_1455_111.pdf,112/06/28,,,,,,,,CSR@zigsheng.com,無,集盛實業股份有限公司,_43295237,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1455_111.pdf
1457,宜進,YI JINN,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,http://www.yijinn.com.tw,t100sa11_1457_111.pdf,112/06/20,,,,,,,,albert@yijinn.com.tw,111年度溫室氣體盤查委託台灣商檢中心做外部查證，截止於6/20尚未取得驗證報告。,宜進實業股份有限公司,_07669338,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1457_111.pdf
1459,聯發,LAN FA,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,http://main.lanfa.com.tw/,t100sa11_1459_111.pdf,112/06/26,,,,t100sa11_1459_111_M.pdf,112/06/26,,,tpe_hr@lanfa.com.tw,,聯發紡織纖維股份有限公司,_33653494,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1459_111.pdf
1460,宏遠,EVEREST,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,台灣科技檢驗股份有限公司,AA1000 第1類型(Type1) 中度保證,http://esg.everest.com.tw/tw/download,t100sa11_1460_111.pdf,112/06/30,,,,,,,,taih.chen@everest.com.tw,無,宏遠興業股份有限公司,_22817999,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1460_111.pdf
1464,得力,DE LICACY,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,艾法諾國際股份有限公司,AA1000 第1類型(Type1) 中度保證,http://www.delicacy.com.tw/zh-tw/Investor/公司治理/ESG永續報告書,t100sa11_1464_111.pdf,112/06/30,,,,,,,,Chuchu5811@delicacy.com.tw,無,得力實業股份有限公司,_73686632,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1464_111.pdf
1466,聚隆,Acelon,6.係自願編製與申報,紡織纖維,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,https://www.acelon.com.tw/zh-tw/csr-cate-first/75bec572214c0edf75535683d4cf5b0a,t100sa11_1466_111.pdf,112/07/13,,,,,,,,cherry@acelon.com.tw,,聚隆纖維股份有限公司,_22976047,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1466_111.pdf
1476,儒鴻,ECLAT,5.股本達新臺幣二十億元以上者,紡織纖維,111/01/01~111/12/31,1. GRI 準則,會計師事務所：,安永聯合會計師事務所,確信準則3000號(原公報第一號),https://www.eclat.com.tw/Uploads/article/UKn9Sb0UWCKz0U5t2pAxdJvCQe8AP2sT_FAQHfr76xkj0Ckz.pdf,t100sa11_1476_111.pdf,112/09/08,,,,,,,,paul.chiang@eclat.com.tw,,儒鴻企業股份有限公司,_35884479,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1476_111.pdf
1503,士電,SEEC,5.股本達新臺幣二十億元以上者,電機機械,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,英國標準協會臺灣分公司(BSI),AA1000 第1類型(Type1) 中度保證,https://www.seec.com.tw/Content/Downloads/List01.aspx?SiteID=10&MmmID=744733351225613026,t100sa11_1503_111.pdf,112/06/30,https://en.seec.com.tw/Content/Downloads/List.aspx?SiteID=30&MmmID=1130212025014175315,t100sa11_1503_111_E.pdf,2023/08/25,,,,,weifang@seec.com.tw,,士林電機廠股份有限公司,_11039306,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1503_111.pdf
1504,東元,TECO,5.股本達新臺幣二十億元以上者,電機機械,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,BSI,AA1000 第1類型(Type1) 中度保證,https://www.teco.com.tw/esg/download1.aspx,t100sa11_1504_111.pdf,112/06/29,https://www.teco.com.tw/esg/images/upload/TECO_2022_Sustainability_Report.pdf,t100sa11_1504_111_E.pdf,2023/06/30,,,,,csr@teco.com.tw,,東元電機股份有限公司,_11332202,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1504_111.pdf
1506,正道,R.W.,5.股本達新臺幣二十億元以上者,電機機械,111/01/01~111/12/31,1. GRI 準則,會計師事務所：,秉承聯合會計師事務所,確信準則3000號(原公報第一號),https://www.rightway.com.tw/index.php?option=module&lang=cht&task=showlist&id=821&index=9,t100sa11_1506_111.pdf,112/06/30,,,,,,,,Don.Huang@rightway.tw,,正道工業股份有限公司,_68193807,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1506_111.pdf
1513,中興電,CHEM,5.股本達新臺幣二十億元以上者,電機機械,111/01/01~111/12/31,1. GRI 準則,無,無資料,無資料,https://www.chem.com.tw/tc/organization.aspx?PKey=1098,t100sa11_1513_111.pdf,112/06/16,https://www.chem.com.tw/en/organization.aspx?PKey=1101,t100sa11_1513_111_E.pdf,2023/07/26,,,,,tw006466@chem.com.tw,無,中興電工機械股份有限公司,_33029464,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1513_111.pdf
1515,力山,REXON,6.係自願編製與申報,電機機械,111/01/01~111/12/31,1. GRI 準則,其他查驗證單位：,台灣檢驗科技股份有限公司,AA1000 第1類型(Type1) 中度保證,https://www.rexon.net/esg-report.php,t100sa11_1515_111.pdf,112/08/04,,,,,,,,esg@rexon.com.tw,,力山工業股份有限公司,_55759180,https://mops.twse.com.tw/server-java/FileDownLoad?step=9&filePath=/home/html/nas/protect/t100/&fileName=t100sa11_1515_111.pdf
